file_name,grain,column_name,logical_type,description,source_status
tenants.csv,One synthetic enterprise tenant,tenant_id,string,Synthetic tenant boundary used for isolation tests.,Column-level assumption; content domain is based on the problem statement.
tenants.csv,One synthetic enterprise tenant,tenant_name,string,Synthetic tenant name field.,Column-level assumption; content domain is based on the problem statement.
tenants.csv,One synthetic enterprise tenant,primary_region,string,Synthetic primary region field.,Column-level assumption; content domain is based on the problem statement.
tenants.csv,One synthetic enterprise tenant,timezone,string,Synthetic timezone field.,Column-level assumption; content domain is based on the problem statement.
sites.csv,One enterprise campus/site,tenant_id,string,Synthetic tenant boundary used for isolation tests.,Column-level assumption; content domain is based on the problem statement.
sites.csv,One enterprise campus/site,site_id,string,Enterprise campus/site identifier.,Column-level assumption; content domain is based on the problem statement.
sites.csv,One enterprise campus/site,site_name,string,Synthetic site name field.,Column-level assumption; content domain is based on the problem statement.
sites.csv,One enterprise campus/site,city,string,Operating city.,Column-level assumption; content domain is based on the problem statement.
sites.csv,One enterprise campus/site,latitude,number,Synthetic latitude field.,Column-level assumption; content domain is based on the problem statement.
sites.csv,One enterprise campus/site,longitude,number,Synthetic longitude field.,Column-level assumption; content domain is based on the problem statement.
shifts.csv,One configured employee shift,shift_id,string,Scheduled employee shift identifier.,Column-level assumption; content domain is based on the problem statement.
shifts.csv,One configured employee shift,shift_name,string,Synthetic shift name field.,Column-level assumption; content domain is based on the problem statement.
shifts.csv,One configured employee shift,local_start_time,string,Synthetic local start time field.,Column-level assumption; content domain is based on the problem statement.
shifts.csv,One configured employee shift,local_end_time,string,Synthetic local end time field.,Column-level assumption; content domain is based on the problem statement.
vendors.csv,One transport vendor per tenant,tenant_id,string,Synthetic tenant boundary used for isolation tests.,Column-level assumption; content domain is based on the problem statement.
vendors.csv,One transport vendor per tenant,vendor_id,string,Transport vendor identifier.,Column-level assumption; content domain is based on the problem statement.
vendors.csv,One transport vendor per tenant,vendor_name,string,Synthetic vendor name field.,Column-level assumption; content domain is based on the problem statement.
vendors.csv,One transport vendor per tenant,contract_tier,string,Synthetic contract tier field.,Column-level assumption; content domain is based on the problem statement.
vendors.csv,One transport vendor per tenant,active_from,date,Synthetic active from field.,Column-level assumption; content domain is based on the problem statement.
vendors.csv,One transport vendor per tenant,active_to,date,Synthetic active to field.,Column-level assumption; content domain is based on the problem statement.
vendors.csv,One transport vendor per tenant,ota_sla_pct,number,Synthetic ota sla pct field.,Column-level assumption; content domain is based on the problem statement.
vendors.csv,One transport vendor per tenant,safety_sla_pct,number,Synthetic safety sla pct field.,Column-level assumption; content domain is based on the problem statement.
routes.csv,One configured route,tenant_id,string,Synthetic tenant boundary used for isolation tests.,Column-level assumption; content domain is based on the problem statement.
routes.csv,One configured route,route_id,string,Configured mobility route identifier.,Column-level assumption; content domain is based on the problem statement.
routes.csv,One configured route,route_name,string,Synthetic route name field.,Column-level assumption; content domain is based on the problem statement.
routes.csv,One configured route,site_id,string,Enterprise campus/site identifier.,Column-level assumption; content domain is based on the problem statement.
routes.csv,One configured route,service_mode,string,"CAB, NODAL, or SHUTTLE.",Column-level assumption; content domain is based on the problem statement.
routes.csv,One configured route,planned_distance_km,number,Configured trip distance in kilometres.,Column-level assumption; content domain is based on the problem statement.
routes.csv,One configured route,active_flag,boolean,Synthetic active flag field.,Column-level assumption; content domain is based on the problem statement.
routes.csv,One configured route,synthetic_hotspot_flag,boolean,Synthetic synthetic hotspot flag field.,Column-level assumption; content domain is based on the problem statement.
vehicles.csv,One anonymized vehicle,tenant_id,string,Synthetic tenant boundary used for isolation tests.,Column-level assumption; content domain is based on the problem statement.
vehicles.csv,One anonymized vehicle,vehicle_id,string,Tokenized vehicle identifier.,Column-level assumption; content domain is based on the problem statement.
vehicles.csv,One anonymized vehicle,vendor_id,string,Transport vendor identifier.,Column-level assumption; content domain is based on the problem statement.
vehicles.csv,One anonymized vehicle,service_mode,string,"CAB, NODAL, or SHUTTLE.",Column-level assumption; content domain is based on the problem statement.
vehicles.csv,One anonymized vehicle,vehicle_type,string,Synthetic vehicle type field.,Column-level assumption; content domain is based on the problem statement.
vehicles.csv,One anonymized vehicle,capacity,number,Synthetic capacity field.,Column-level assumption; content domain is based on the problem statement.
vehicles.csv,One anonymized vehicle,fuel_type,string,Synthetic vehicle fuel category.,Column-level assumption; content domain is based on the problem statement.
vehicles.csv,One anonymized vehicle,compliance_status,string,Combined vehicle/driver compliance state.,Column-level assumption; content domain is based on the problem statement.
drivers.csv,One anonymized driver,tenant_id,string,Synthetic tenant boundary used for isolation tests.,Column-level assumption; content domain is based on the problem statement.
drivers.csv,One anonymized driver,driver_id,string,Tokenized driver identifier.,Column-level assumption; content domain is based on the problem statement.
drivers.csv,One anonymized driver,vendor_id,string,Transport vendor identifier.,Column-level assumption; content domain is based on the problem statement.
drivers.csv,One anonymized driver,driver_token,string,Synthetic driver token field.,Column-level assumption; content domain is based on the problem statement.
drivers.csv,One anonymized driver,training_status,string,Synthetic training status field.,Column-level assumption; content domain is based on the problem statement.
drivers.csv,One anonymized driver,background_check_status,number,Synthetic background check status field.,Column-level assumption; content domain is based on the problem statement.
employees.csv,One anonymized employee,tenant_id,string,Synthetic tenant boundary used for isolation tests.,Column-level assumption; content domain is based on the problem statement.
employees.csv,One anonymized employee,employee_token,string,Synthetic employee token field.,Column-level assumption; content domain is based on the problem statement.
employees.csv,One anonymized employee,site_id,string,Enterprise campus/site identifier.,Column-level assumption; content domain is based on the problem statement.
employees.csv,One anonymized employee,shift_id,string,Scheduled employee shift identifier.,Column-level assumption; content domain is based on the problem statement.
employees.csv,One anonymized employee,business_unit,string,Synthetic business unit field.,Column-level assumption; content domain is based on the problem statement.
employees.csv,One anonymized employee,active_flag,boolean,Synthetic active flag field.,Column-level assumption; content domain is based on the problem statement.
sla_targets.csv,One tenant/mode/metric SLA version,tenant_id,string,Synthetic tenant boundary used for isolation tests.,Column-level assumption; content domain is based on the problem statement.
sla_targets.csv,One tenant/mode/metric SLA version,service_mode,string,"CAB, NODAL, or SHUTTLE.",Column-level assumption; content domain is based on the problem statement.
sla_targets.csv,One tenant/mode/metric SLA version,metric_id,string,Synthetic metric id field.,Column-level assumption; content domain is based on the problem statement.
sla_targets.csv,One tenant/mode/metric SLA version,target_value,number,Synthetic target value field.,Column-level assumption; content domain is based on the problem statement.
sla_targets.csv,One tenant/mode/metric SLA version,comparison_operator,string,Synthetic comparison operator field.,Column-level assumption; content domain is based on the problem statement.
sla_targets.csv,One tenant/mode/metric SLA version,effective_from,date,Synthetic effective from field.,Column-level assumption; content domain is based on the problem statement.
sla_targets.csv,One tenant/mode/metric SLA version,effective_to,date,Synthetic effective to field.,Column-level assumption; content domain is based on the problem statement.
sla_targets.csv,One tenant/mode/metric SLA version,metric_version,string,Synthetic metric version field.,Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,tenant_id,string,Synthetic tenant boundary used for isolation tests.,Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,trip_id,string,Anonymized trip identifier.,Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,service_date,date,UTC calendar date of scheduled service.,Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,city,string,Operating city.,Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,site_id,string,Enterprise campus/site identifier.,Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,shift_id,string,Scheduled employee shift identifier.,Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,service_mode,string,"CAB, NODAL, or SHUTTLE.",Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,route_id,string,Configured mobility route identifier.,Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,vendor_id,string,Transport vendor identifier.,Column-level assumption; content domain is based on the problem statement.
trip_logs.csv,One row per trip-log record; controlled duplicate IDs included,driver_id,string,Tokenized driver identifier.,Column-level assumption; content domain is based on the problem statement.
